id, object, score, x,  y,  w,  h
0, person, 0.25,  99,  157, 19, 36
1, person, 0.25,  24,  163, 16, 51
2, person, 0.27,  528,  141, 14, 25
3, bicycle, 0.31,  86,  227, 48, 62
4, person, 0.35,  385,  178, 25, 19
5, person, 0.36,  477,  143, 20, 23
6, bicycle, 0.37,  2,  269, 80, 84
7, person, 0.38,  486,  140, 23, 27
8, person, 0.51,  510,  141, 19, 24
9, person, 0.63,  176,  155, 23, 63
10, person, 0.68,  217,  156, 22, 83
11, bicycle, 0.73,  38,  211, 90, 91
12, person, 0.75,  553,  141, 18, 26
13, person, 0.81,  79,  159, 25, 64
14, person, 0.90,  449,  150, 19, 23
15, person, 0.91,  239,  123, 77, 210
16, person, 0.92,  97,  155, 24, 70
17, person, 0.98,  199,  153, 29, 99
18, person, 0.98,  124,  157, 60, 193
19, car, 1.00,  315,  165, 276, 105
